Month,Existing Volume 1M Lag,Existing Volume Trend Component,Existing Volume Seasonal Component,Existing Volume Residual Component
1/1/2021,482539000,375640352,70950564.16,35948083.86
2/1/2021,435043000,381717700.9,-21466619.89,74791918.99
3/1/2021,394415000,387795049.8,-33591109.5,40211059.67
4/1/2021,437883000,393872398.7,-126126890.8,170137492
5/1/2021,444177000,399949747.7,16485281.09,27741971.24
6/1/2021,308709000,406027096.6,-27481851.7,-69836244.89
7/1/2021,313384000,421131916.7,-37806199.24,-69941717.43
8/1/2021,366614000,422083750,26144217.43,-81613967.43
9/1/2021,383026000,424483125,21900029.93,-63357154.93
10/1/2021,477088000,425541041.7,59325425.76,-7778467.427
11/1/2021,528363000,423849708.3,53021731.34,51491560.33
12/1/2021,470618000,430873458.3,-1354578.611,41099120.28
1/1/2022,505987000,444849000,70950564.16,-9812564.163
2/1/2022,434439000,458900333.3,-21466619.89,-2994713.445
3/1/2022,452604000,471867583.3,-33591109.5,14327526.16
4/1/2022,405084000,477637708.3,-126126890.8,53573182.44
5/1/2022,436384000,475031916.7,16485281.09,-55133197.76
6/1/2022,485072000,470108833.3,-27481851.7,42445018.37
7/1/2022,472434000,467689708.3,-37806199.24,42550490.91
8/1/2022,544796000,464429041.7,26144217.43,54222740.91
9/1/2022,516058000,458192041.7,21900029.93,35965928.41
10/1/2022,482539000,442826333.3,59325425.76,-19612759.09
11/1/2022,460373000,486234055.5,53021731.34,-78882786.85
12/1/2022,420454000,490298925.4,-1354578.611,-68490346.8
1/1/2023,498092000,494363795.3,70950564.16,-67222359.47
2/1/2023,364078000,498428665.2,-21466619.89,-112884045.3
3/1/2023,373277000,502493535.1,-33591109.5,-95625425.61
4/1/2023,115634000,506558405,-126126890.8,-264797514.2
