CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00001550,5/31/2023,5/31/2022,52000
A00000390,2/28/2022,2/28/2021,22000
A00000003,4/30/2023,1/31/2018,898000
A00000374,3/31/2022,11/30/2020,358000
A00000407,7/31/2021,3/31/2021,14000
A00000303,8/31/2021,3/31/2020,1069000
A00000413,6/30/2021,4/30/2021,12000
A00001426,12/31/2021,8/31/2021,1000
A00000316,4/30/2021,4/30/2020,341878000
A00000005,1/31/2023,1/31/2018,14887000
A00000155,10/31/2022,1/31/2018,6425000
A00001648,2/28/2023,10/31/2022,523000
A00001401,4/30/2022,5/31/2021,569000
A00000244,1/31/2023,4/30/2019,1158000
A00000261,9/30/2022,8/31/2019,524000
A00001401,12/31/2022,5/31/2021,1584000
A00000381,9/30/2021,1/31/2021,8000
A00000390,6/30/2021,2/28/2021,4000
A00000382,4/30/2022,1/31/2021,283000
A00000400,6/30/2021,3/31/2021,3740000
A00001657,5/31/2023,11/30/2022,135000
A00000355,4/30/2022,9/30/2020,3112000
A00000150,5/31/2022,7/31/2018,979000
A00000333,10/31/2021,4/30/2020,33000
A00000381,11/30/2022,1/31/2021,1100000
A00000412,7/31/2022,6/30/2021,127000
A00000180,7/31/2021,11/30/2018,1349000
A00000326,6/30/2022,4/30/2020,21000
A00001445,2/28/2022,10/31/2021,10011000
A00000303,7/31/2021,3/31/2020,1041000
A00001496,8/31/2022,2/28/2022,34000
A00000387,5/31/2022,2/28/2021,1365000
A00000216,10/31/2021,10/31/2018,1257000
A00000251,11/30/2022,7/31/2019,1194000
A00000251,8/31/2021,7/31/2019,491000
A00000423,2/28/2022,5/31/2021,587000
A00000172,7/31/2021,8/31/2018,77000
A00000039,12/31/2021,1/31/2018,3581000
A00001505,11/30/2022,2/28/2022,222000
A00001420,4/30/2022,8/31/2021,291000
A00000217,9/30/2022,4/30/2019,1342000
A00000382,10/31/2021,1/31/2021,322000
A00000316,8/31/2022,4/30/2020,167340000
A00001406,3/31/2022,8/31/2021,581000
A00000406,12/31/2021,3/31/2021,156000
A00000154,3/31/2023,8/31/2018,268000
A00001454,3/31/2022,11/30/2021,18000
A00000379,2/28/2022,1/31/2021,49000
A00000216,9/30/2021,10/31/2018,1020000
A00000261,3/31/2022,8/31/2019,392000
A00001421,10/31/2022,8/31/2021,512000
A00001550,11/30/2022,5/31/2022,43000
A00000305,12/31/2022,7/31/2020,168000
A00001573,5/31/2023,6/30/2022,29000
A00000378,9/30/2022,12/31/2020,37000
A00000219,2/28/2022,1/31/2019,7000
A00000162,11/30/2021,9/30/2018,148000
A00000261,1/31/2023,8/31/2019,288000
A00000341,5/31/2022,10/31/2020,29665000
A00000346,6/30/2021,7/31/2020,95000
A00000206,4/30/2023,6/30/2018,849000
A00000355,6/30/2022,9/30/2020,4325000
A00001557,7/31/2022,7/31/2022,1000
A00000183,3/31/2021,12/31/2018,2758000
A00000148,3/31/2022,7/31/2018,18822000
A00001406,12/31/2022,8/31/2021,1048000
A00001422,6/30/2022,8/31/2021,15000
A00000355,4/30/2021,9/30/2020,134000
A00000303,2/28/2023,3/31/2020,294000
A00000350,1/31/2023,7/31/2020,45000
A00000006,3/31/2023,1/31/2018,423000
A00000124,5/31/2023,1/31/2018,69000
A00001445,9/30/2022,10/31/2021,3209000
A00000399,3/31/2022,12/31/2021,6000
A00000244,2/28/2022,4/30/2019,1303000
A00001408,6/30/2022,7/31/2021,65000
A00000340,5/31/2022,6/30/2020,1639000
A00000378,12/31/2021,12/31/2020,2000
A00000381,1/31/2023,1/31/2021,1693000
A00001496,3/31/2023,2/28/2022,26000
A00000256,1/31/2022,8/31/2019,14000
A00000333,5/31/2021,4/30/2020,58000
A00001415,6/30/2022,8/31/2021,7139000
A00000183,6/30/2021,12/31/2018,5072000
A00000333,10/31/2022,4/30/2020,15000
A00000150,1/31/2023,7/31/2018,1342000
A00001412,3/31/2022,7/31/2021,14000
A00000412,8/31/2021,6/30/2021,2000
A00000305,1/31/2022,7/31/2020,393000
A00000385,5/31/2021,1/31/2021,644000
A00001483,5/31/2022,1/31/2022,3000
A00001452,5/31/2022,3/31/2022,147000
A00001608,11/30/2022,8/31/2022,176000
A00000421,6/30/2022,5/31/2021,84000
A00001480,3/31/2022,1/31/2022,2218000
A00000239,6/30/2022,3/31/2019,1338000
A00000149,2/28/2023,7/31/2018,521000
A00000148,10/31/2021,7/31/2018,13277000
A00000124,3/31/2022,1/31/2018,106000
A00001406,8/31/2022,8/31/2021,1260000
A00000421,9/30/2022,5/31/2021,114000
A00001415,5/31/2023,8/31/2021,372000
A00000372,12/31/2022,12/31/2020,4162000
A00000039,5/31/2023,1/31/2018,3711000
A00001420,11/30/2021,8/31/2021,1000
A00001425,1/31/2023,8/31/2021,45000
A00001401,9/30/2022,5/31/2021,989000
A00000400,5/31/2021,3/31/2021,2997000
A00000327,2/28/2023,4/30/2020,119000
A00000413,9/30/2021,4/30/2021,7000
A00000244,4/30/2023,4/30/2019,77000
A00000239,4/30/2022,3/31/2019,940000
A00000316,5/31/2022,4/30/2020,147209000
A00001425,3/31/2023,8/31/2021,39000
A00001465,7/31/2022,1/31/2022,25000
A00000327,4/30/2022,4/30/2020,605000
A00000149,4/30/2023,7/31/2018,311000
A00000379,5/31/2022,1/31/2021,54000
A00000206,10/31/2021,6/30/2018,1363000
A00000405,9/30/2021,3/31/2021,19000
A00000350,8/31/2022,7/31/2020,33000
A00000006,12/31/2022,1/31/2018,322000
A00000150,2/28/2023,7/31/2018,450000
