,Existing Volume 6M Lag,Existing Volume Trend Component,Existing Volume Seasonal Component,Existing Volume Residual Component
2021-01-01,479032000,370623615.1418025,59126404.20430271,49281980.6538948
2021-02-01,433006000,376818441.48212886,-18936414.900203876,75123973.41807503
2021-03-01,392500000,383013267.8224552,-32422067.33804384,41908799.51558861
2021-04-01,437422000,389208094.16278154,-123572900.33143933,171786806.16865778
2021-05-01,440374000,395402920.5031079,16803201.47994361,28167878.016948484
2021-06-01,303962000,401597746.8434343,-27606170.023552887,-70029576.81988138
2021-07-01,309348000,417293583.33333325,-37482692.43516906,-70462890.89816418
2021-08-01,362468000,418085124.99999994,27439828.39816428,-83056953.39816421
2021-09-01,380563000,420481708.3333333,24327161.731497593,-64245870.06483091
2021-10-01,472126000,421387208.3333333,60514495.06483091,-9775703.39816422
2021-11-01,522667000,419664499.99999994,53064005.651466645,49938494.348533414
2021-12-01,465099000,426844500.0,-1254851.5017967727,39509351.501796775
2022-01-01,496944000,441001499.99999994,59126404.20430271,-3183904.2043026537
2022-02-01,434091000,455235416.66666657,-18936414.900203876,-2208001.766462691
2022-03-01,448933000,468375833.33333325,-32422067.33804384,12979234.004710585
2022-04-01,402721000,474377791.6666666,-123572900.33143933,51916108.664772704
2022-05-01,433730000,472107166.6666667,16803201.47994361,-55180368.1466103
2022-06-01,482926000,467515083.3333333,-27606170.023552887,43017086.69021957
2022-07-01,470152000,464184291.6666667,-37482692.43516906,43450400.76850238
2022-08-01,543278000,459793708.3333333,27439828.39816428,56044463.26850241
2022-09-01,515123000,453562458.3333333,24327161.731497593,37233379.93516909
2022-10-01,481613000,438335291.6666667,60514495.06483091,-17236786.731497593
2022-11-01,458685000,482571978.8267286,53064005.651466645,-76950984.47819522
2022-12-01,418871000,486647693.13325536,-1254851.5017967727,-66521841.63145859
2023-01-01,463233000,490723407.43978214,59126404.20430271,-86616811.64408486
2023-02-01,362428000,494799121.7463089,-18936414.900203876,-113434706.84610504
2023-03-01,371046000,498874836.05283576,-32422067.33804384,-95406768.71479192
2023-04-01,115156000,502950550.35936254,-123572900.33143933,-264221650.02792323
