Customer Cohort Month,Month,Volume
2/29/2020,1/31/2023,23000
4/30/2018,2/29/2020,1000
10/31/2018,4/30/2021,59000
6/30/2019,1/31/2021,41000
2/28/2018,4/30/2019,514000
7/31/2018,5/31/2023,4577000
12/31/2018,2/28/2019,2864000
4/30/2021,6/30/2022,317000
2/28/2018,5/31/2021,290000
11/30/2019,5/31/2021,18627000
8/31/2021,11/30/2022,511000
9/30/2019,10/31/2022,57000
6/30/2021,2/28/2022,360000
7/31/2021,1/31/2022,361000
11/30/2021,4/30/2022,56000
2/28/2021,7/31/2021,34000
6/30/2018,12/31/2021,1000
10/31/2018,4/30/2019,448000
9/30/2019,1/31/2023,36000
9/30/2018,11/30/2020,134000
2/28/2022,9/30/2022,25000
1/31/2018,3/31/2023,9199000
4/30/2020,8/31/2022,20000
4/30/2019,10/31/2021,429000
4/30/2019,8/31/2020,222000
10/31/2018,2/28/2023,85000
10/31/2022,3/31/2023,17000
1/31/2019,6/30/2019,2479000
2/28/2019,12/31/2020,4269000
8/31/2018,9/30/2021,54000
3/31/2021,1/31/2023,1186000
2/28/2019,5/31/2020,5377000
9/30/2022,5/31/2023,8000
1/31/2020,11/30/2022,1091000
5/31/2019,2/28/2022,1787000
3/31/2018,5/31/2021,16000
1/31/2021,3/31/2021,28822000
2/28/2019,6/30/2020,5969000
3/31/2022,9/30/2022,8000
10/31/2018,2/29/2020,137000
6/30/2020,10/31/2021,57000
3/31/2020,3/31/2023,85000
2/28/2018,11/30/2020,366000
8/31/2021,1/31/2023,392000
2/29/2020,8/31/2020,221000
10/31/2019,3/31/2020,11964000
12/31/2018,6/30/2021,922000
2/28/2021,6/30/2021,119000
10/31/2018,10/31/2020,20000
1/31/2018,8/31/2021,27579000
9/30/2018,2/29/2020,13339000
5/31/2019,9/30/2020,9693000
9/30/2019,9/30/2022,56000
10/31/2021,4/30/2023,23000
1/31/2018,5/31/2018,16466000
8/31/2018,12/31/2019,1151000
9/30/2020,11/30/2022,316000
12/31/2019,4/30/2022,6023000
7/31/2019,10/31/2021,322000
4/30/2018,7/31/2022,1000
7/31/2019,6/30/2022,438000
5/31/2019,10/31/2022,1847000
8/31/2021,10/31/2022,674000
1/31/2019,5/31/2022,5000
3/31/2018,9/30/2022,24000
3/31/2019,7/31/2021,1015000
12/31/2019,1/31/2020,566000
2/29/2020,2/28/2021,152000
5/31/2018,3/31/2019,3000
4/30/2019,12/31/2021,604000
11/30/2020,10/31/2021,170000
8/31/2019,5/31/2020,205000
2/28/2018,6/30/2019,432000
10/31/2018,10/31/2021,103000
3/31/2020,12/31/2021,67000
5/31/2022,12/31/2022,97000
3/31/2019,8/31/2021,1069000
11/30/2022,4/30/2023,112000
4/30/2018,11/30/2022,1000
7/31/2022,5/31/2023,202000
11/30/2020,8/31/2022,1131000
1/31/2018,5/31/2022,34263000
1/31/2020,6/30/2022,202000
9/30/2021,1/31/2022,73000
7/31/2019,8/31/2022,441000
8/31/2018,3/31/2019,1016000
6/30/2020,11/30/2022,7000
5/31/2019,12/31/2022,1825000
1/31/2021,11/30/2021,149000
9/30/2020,7/31/2022,209000
12/31/2018,3/31/2020,3372000
5/31/2019,11/30/2021,2806000
8/31/2018,3/31/2021,897000
3/31/2018,3/31/2018,19000
10/31/2018,7/31/2019,324000
7/31/2019,2/28/2023,456000
1/31/2022,3/31/2023,25000
2/28/2019,11/30/2020,5518000
10/31/2018,5/31/2019,623000
12/31/2018,9/30/2019,3554000
7/31/2019,11/30/2021,452000
4/30/2020,5/31/2022,19000
5/31/2018,5/31/2019,1000
4/30/2020,10/31/2022,69000
8/31/2018,3/31/2023,1000
5/31/2020,5/31/2022,2473000
5/31/2021,12/31/2022,58000
1/31/2019,2/29/2020,3398000
11/30/2019,12/31/2020,20921000
11/30/2020,11/30/2022,359000
6/30/2020,7/31/2020,15723000
10/31/2019,4/30/2021,4133000
7/31/2018,4/30/2021,214392000
11/30/2018,3/31/2020,338000
11/30/2020,12/31/2020,911000
1/31/2019,1/31/2023,2000
11/30/2020,5/31/2022,296000
2/28/2019,6/30/2019,15206000
3/31/2019,5/31/2019,39000
1/31/2020,7/31/2020,25000
11/30/2020,5/31/2021,311000
10/31/2020,9/30/2022,10000
5/31/2020,8/31/2022,1716000
2/28/2019,8/31/2019,25113000
3/31/2019,3/31/2023,369000
11/30/2019,9/30/2020,22568000
12/31/2020,4/30/2022,10000
6/30/2018,5/31/2023,3000
2/28/2019,12/31/2019,26228000
1/31/2020,11/30/2021,117000
12/31/2019,11/30/2022,1103000
1/31/2021,4/30/2022,43000
7/31/2019,3/31/2021,166000
9/30/2019,8/31/2022,54000
11/30/2022,12/31/2022,34000
5/31/2022,4/30/2023,7000
2/28/2018,3/31/2023,302000
3/31/2018,3/31/2022,14000
10/31/2019,2/28/2022,7119000
3/31/2018,6/30/2019,11000
1/31/2018,6/30/2020,23367000
2/28/2018,2/28/2018,26000
1/31/2022,12/31/2022,62000
12/31/2018,11/30/2019,3688000
11/30/2022,2/28/2023,48000
11/30/2022,5/31/2023,329000
8/31/2021,9/30/2022,630000
9/30/2018,8/31/2020,145000
9/30/2018,10/31/2020,167000
12/31/2019,9/30/2020,370000
8/31/2022,5/31/2023,1000
4/30/2022,4/30/2022,108000
3/31/2019,12/31/2019,1166000
6/30/2021,12/31/2021,99000
3/31/2023,3/31/2023,81000
1/31/2019,4/30/2023,2000
2/28/2018,8/31/2021,302000
9/30/2021,10/31/2021,36000
8/31/2018,5/31/2020,533000
4/30/2022,4/30/2023,3000
9/30/2020,8/31/2021,38000
1/31/2023,3/31/2023,1000
5/31/2019,3/31/2020,8130000
2/28/2018,1/31/2020,419000
7/31/2019,4/30/2023,152000
7/31/2018,12/31/2021,7284000
4/30/2021,5/31/2022,330000
4/30/2018,3/31/2019,2000
3/31/2021,11/30/2021,65000
6/30/2018,8/31/2019,3027000
2/28/2022,3/31/2023,1972000
2/29/2020,5/31/2022,42000
10/31/2019,1/31/2023,7220000
4/30/2018,9/30/2018,3000
8/31/2019,3/31/2022,6000
4/30/2019,10/31/2022,70000
3/31/2020,4/30/2020,202000
11/30/2020,11/30/2021,211000
11/30/2020,2/28/2023,358000
11/30/2018,8/31/2019,213000
7/31/2021,1/31/2023,106000
5/31/2019,10/31/2021,2902000
11/30/2020,3/31/2023,3005000
3/31/2021,6/30/2021,56619000
2/28/2019,10/31/2020,5474000
4/30/2019,2/29/2020,756000
7/31/2018,3/31/2022,7374000
10/31/2018,10/31/2022,47000
10/31/2021,5/31/2022,27000
2/28/2018,7/31/2022,357000
8/31/2022,1/31/2023,4000
11/30/2019,5/31/2023,2000
2/29/2020,2/29/2020,120000
3/31/2020,9/30/2022,52000
1/31/2018,2/28/2019,24735000
7/31/2018,9/30/2018,7641000
9/30/2018,7/31/2020,168000
11/30/2018,10/31/2020,1195000
8/31/2022,11/30/2022,28000
2/29/2020,9/30/2022,46000
5/31/2019,5/31/2021,1610000
7/31/2018,7/31/2018,1832000
2/29/2020,3/31/2020,588000
8/31/2019,10/31/2020,429000
9/30/2018,8/31/2019,2929000
2/28/2023,4/30/2023,18000
5/31/2020,3/31/2023,1146000
1/31/2021,2/28/2021,5086000
10/31/2018,12/31/2019,129000
6/30/2022,9/30/2022,8000
9/30/2018,5/31/2021,8000
3/31/2019,9/30/2022,7000
9/30/2021,9/30/2021,8000
8/31/2018,6/30/2021,783000
2/28/2021,2/28/2021,407000
10/31/2019,6/30/2020,2043000
12/31/2019,2/28/2022,5192000
7/31/2021,10/31/2022,511000
3/31/2019,12/31/2021,1286000
2/28/2021,3/31/2023,3000
2/29/2020,7/31/2020,263000
4/30/2020,5/31/2021,1845000
1/31/2021,6/30/2021,964000
12/31/2018,8/31/2019,3709000
6/30/2018,2/28/2022,2000
12/31/2018,8/31/2020,1993000
2/29/2020,1/31/2021,224000
7/31/2019,1/31/2023,478000
8/31/2021,6/30/2022,699000
7/31/2018,2/28/2019,10498000
9/30/2018,10/31/2018,42000
10/31/2021,10/31/2022,18000
10/31/2018,11/30/2020,41000
1/31/2020,2/28/2021,77000
1/31/2019,4/30/2020,147000
4/30/2019,1/31/2020,810000
7/31/2019,9/30/2022,371000
7/31/2022,2/28/2023,64000
10/31/2020,2/28/2021,1000
2/28/2018,12/31/2018,652000
5/31/2019,4/30/2021,1891000
9/30/2020,3/31/2021,32000
3/31/2018,12/31/2021,11000
2/29/2020,5/31/2021,73000
5/31/2020,11/30/2022,2589000
3/31/2020,9/30/2021,66000
4/30/2019,1/31/2022,741000
3/31/2020,8/31/2021,66000
2/28/2019,9/30/2021,205000
6/30/2020,12/31/2020,30000
6/30/2019,5/31/2023,367000
9/30/2018,3/31/2020,3546000
11/30/2019,1/31/2022,13006000
9/30/2018,11/30/2019,7645000
11/30/2020,12/31/2022,382000
6/30/2018,1/31/2023,2000
10/31/2019,11/30/2020,4431000
1/31/2021,10/31/2022,401000
5/31/2023,5/31/2023,322000
1/31/2020,8/31/2021,252000
6/30/2018,8/31/2022,8000
7/31/2019,7/31/2020,363000
3/31/2021,9/30/2021,117000
5/31/2020,8/31/2021,1482000
1/31/2022,3/31/2022,60000
5/31/2020,9/30/2020,786000
3/31/2021,3/31/2023,5248000
10/31/2020,7/31/2021,9437000
1/31/2018,11/30/2018,21519000
5/31/2019,12/31/2019,6635000
1/31/2019,5/31/2023,1000
11/30/2019,11/30/2022,7244000
2/28/2018,3/31/2022,318000
2/29/2020,2/28/2023,15000
12/31/2021,10/31/2022,106000
4/30/2019,6/30/2021,986000
4/30/2021,6/30/2021,276000
4/30/2021,1/31/2022,530000
10/31/2018,1/31/2021,81000
10/31/2020,5/31/2022,4000
7/31/2019,12/31/2021,376000
4/30/2018,8/31/2021,1000
10/31/2021,11/30/2021,44000
4/30/2019,3/31/2020,527000
8/31/2018,8/31/2022,353000
9/30/2019,2/28/2021,60000
10/31/2019,6/30/2021,10414000
2/28/2019,12/31/2022,1000
12/31/2021,7/31/2022,90000
2/29/2020,10/31/2021,14000
12/31/2018,4/30/2019,2884000
8/31/2018,12/31/2020,1126000
5/31/2018,7/31/2019,5000
6/30/2018,10/31/2018,2343000
2/28/2019,2/28/2019,1324000
3/31/2018,12/31/2022,16000
1/31/2018,1/31/2023,9975000
9/30/2020,9/30/2020,1337000
5/31/2019,9/30/2021,3265000
9/30/2019,6/30/2022,65000
6/30/2022,8/31/2022,20000
12/31/2018,6/30/2019,2882000
9/30/2022,9/30/2022,190000
6/30/2018,5/31/2022,3000
3/31/2018,1/31/2021,7000
6/30/2019,5/31/2020,17000
12/31/2018,11/30/2020,2349000
1/31/2022,10/31/2022,69000
4/30/2020,4/30/2021,16825000
7/31/2018,2/28/2021,184732000
3/31/2020,12/31/2022,79000
4/30/2019,8/31/2021,971000
6/30/2022,4/30/2023,2000
2/28/2018,4/30/2022,281000
1/31/2018,9/30/2020,13193000
6/30/2019,7/31/2019,39000
2/28/2018,3/31/2021,297000
3/31/2022,10/31/2022,7000
9/30/2020,5/31/2022,213000
11/30/2019,4/30/2021,21335000
12/31/2020,5/31/2022,16000
10/31/2019,10/31/2022,6674000
11/30/2019,2/29/2020,22036000
7/31/2022,11/30/2022,30000
2/28/2019,10/31/2022,171000
4/30/2022,10/31/2022,92000
2/28/2019,8/31/2020,5110000
6/30/2018,2/29/2020,4966000
11/30/2020,6/30/2021,236000
10/31/2018,6/30/2022,135000
11/30/2019,5/31/2022,14459000
2/28/2021,9/30/2022,1000
6/30/2018,4/30/2021,473000
6/30/2020,2/28/2021,29000
6/30/2018,11/30/2018,2000000
12/31/2018,10/31/2020,3154000
3/31/2018,3/31/2020,11000
3/31/2018,4/30/2019,18000
12/31/2018,5/31/2019,2865000
6/30/2021,9/30/2021,47000
3/31/2018,5/31/2019,18000
8/31/2018,2/28/2022,181000
5/31/2018,10/31/2022,1000
3/31/2021,5/31/2022,91000
2/28/2018,1/31/2023,291000
4/30/2021,1/31/2023,392000
10/31/2019,5/31/2020,390000
3/31/2022,8/31/2022,7000
1/31/2020,2/29/2020,4966000
3/31/2019,11/30/2021,1235000
1/31/2018,4/30/2022,30522000
9/30/2019,5/31/2020,47000
12/31/2019,12/31/2019,392000
11/30/2018,9/30/2020,630000
4/30/2022,2/28/2023,43000
