CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00000287,4/30/2019,4/30/2019,1000
A00000375,6/30/2021,12/31/2020,22000
A00001548,8/31/2022,4/30/2022,88000
A00000259,3/31/2022,9/30/2019,55000
A00001542,11/30/2022,4/30/2022,28000
A00000096,7/31/2022,1/31/2018,817000
A00000038,9/30/2021,1/31/2018,22000
A00001568,12/31/2022,12/31/2022,1000
A00000002,4/30/2020,1/31/2018,27000
A00000218,11/30/2022,4/30/2019,38000
A00000395,4/30/2021,2/28/2021,1000
A00000297,4/30/2020,1/31/2020,1433000
A00000065,5/31/2023,3/31/2018,2000
A00000148,11/30/2020,7/31/2018,7283000
A00000109,3/31/2019,1/31/2018,10000
A00000306,9/30/2022,11/30/2020,276000
A00001436,10/31/2021,9/30/2021,8000
A00000244,10/31/2019,4/30/2019,49000
A00000115,12/31/2019,1/31/2018,1000
A00000120,4/30/2018,4/30/2018,2000
A00000217,12/31/2019,4/30/2019,672000
A00000044,12/31/2019,1/31/2018,1000
A00000078,5/31/2018,2/28/2018,2000
A00000043,12/31/2021,1/31/2018,647000
A00000206,6/30/2019,6/30/2018,811000
A00001554,10/31/2022,5/31/2022,3000
A00001443,2/28/2022,10/31/2021,14000
A00000191,12/31/2019,12/31/2018,657000
A00000155,8/31/2021,1/31/2018,5957000
A00000269,2/28/2022,9/30/2019,1000
A00000036,11/30/2020,1/31/2018,14000
A00000190,1/31/2020,10/31/2018,35000
A00000094,10/31/2018,1/31/2018,60000
A00000164,9/30/2018,9/30/2018,1000
A00001498,2/28/2022,2/28/2022,1000
A00000192,5/31/2020,2/28/2019,8000
A00000194,8/31/2022,3/31/2019,3000
A00001584,3/31/2023,7/31/2022,1000
A00000005,12/31/2018,1/31/2018,4207000
A00000241,8/31/2019,7/31/2019,12000
A00000357,5/31/2023,9/30/2020,52000
A00001429,11/30/2021,11/30/2021,1000
A00000294,4/30/2020,1/31/2020,17000
A00001401,11/30/2021,5/31/2021,1000
A00001497,2/28/2022,2/28/2022,3000
A00000114,9/30/2019,4/30/2018,3000
A00000346,8/31/2020,7/31/2020,20000
A00001633,10/31/2022,9/30/2022,172000
A00001554,9/30/2022,5/31/2022,3000
A00000194,6/30/2020,3/31/2019,1000
A00001433,9/30/2021,9/30/2021,2000
A00001665,2/28/2023,10/31/2022,1000
A00000206,9/30/2019,6/30/2018,662000
A00000339,2/28/2022,6/30/2020,69000
A00000142,12/31/2021,2/28/2018,214000
A00000196,9/30/2020,3/31/2019,72000
A00000049,12/31/2020,2/28/2018,1000
A00000044,11/30/2022,1/31/2018,2000
A00000150,3/31/2020,7/31/2018,589000
A00000416,10/31/2021,4/30/2021,114000
A00000143,8/31/2021,9/30/2018,7000
A00000336,7/31/2022,5/31/2020,2132000
A00000128,6/30/2022,7/31/2018,7487000
A00001512,5/31/2022,3/31/2022,11000
A00000204,1/31/2022,1/31/2019,402000
A00000198,1/31/2022,1/31/2019,1000
A00000142,8/31/2018,2/28/2018,784000
A00001439,5/31/2022,10/31/2021,2000
A00000109,12/31/2018,1/31/2018,11000
A00000042,1/31/2019,3/31/2018,1000
A00000242,6/30/2020,5/31/2019,6951000
A00001607,5/31/2023,10/31/2022,4000
A00000298,5/31/2022,2/29/2020,41000
A00000276,6/30/2021,2/28/2018,1000
A00001523,9/30/2022,9/30/2022,146000
A00000339,10/31/2020,6/30/2020,4000
A00000213,3/31/2020,9/30/2018,3377000
A00000278,1/31/2020,10/31/2019,24000
A00001586,5/31/2023,7/31/2022,25000
A00000094,3/31/2022,1/31/2018,93000
A00000175,7/31/2019,10/31/2018,2000
A00000200,6/30/2019,4/30/2019,61000
A00001618,2/28/2023,10/31/2022,13000
A00000191,12/31/2021,12/31/2018,244000
A00000138,6/30/2019,6/30/2018,24000
A00000290,10/31/2020,12/31/2019,157000
A00000001,6/30/2019,1/31/2018,2000
A00001448,4/30/2023,11/30/2021,2000
A00000336,1/31/2023,5/31/2020,1585000
A00001416,12/31/2021,6/30/2021,42000
A00000256,2/29/2020,8/31/2019,7000
A00000190,12/31/2018,10/31/2018,286000
A00000143,9/30/2020,9/30/2018,13000
A00000043,5/31/2019,1/31/2018,918000
A00001548,1/31/2023,4/30/2022,57000
A00000096,4/30/2020,1/31/2018,18000
A00000001,5/31/2018,1/31/2018,5000
A00000171,3/31/2023,10/31/2018,2000
A00000230,4/30/2020,1/31/2018,760000
A00000323,11/30/2022,12/31/2020,24000
A00000396,6/30/2021,2/28/2021,118000
A00000050,6/30/2022,1/31/2018,7000
A00000216,6/30/2019,10/31/2018,2000
A00001414,11/30/2022,6/30/2021,18000
A00000102,3/31/2020,2/28/2018,1000
A00000306,4/30/2021,11/30/2020,525000
A00001497,9/30/2022,2/28/2022,3000
A00000335,6/30/2020,5/31/2020,231000
A00000251,10/31/2020,7/31/2019,458000
A00000150,2/28/2019,7/31/2018,641000
A00000411,8/31/2022,4/30/2021,3000
A00001459,1/31/2022,11/30/2021,6000
A00000109,10/31/2018,1/31/2018,12000
A00001671,11/30/2022,11/30/2022,1000
A00000317,12/31/2021,3/31/2020,67000
A00001395,5/31/2021,5/31/2021,2000
A00000002,7/31/2020,1/31/2018,22000
A00000190,10/31/2018,10/31/2018,10000
A00000235,1/31/2021,10/31/2018,46000
A00000367,2/28/2023,10/31/2020,6000
A00000124,7/31/2018,1/31/2018,166000
A00001618,5/31/2023,10/31/2022,2000
A00000298,6/30/2021,2/29/2020,50000
A00000198,5/31/2020,1/31/2019,5000
A00001409,8/31/2022,7/31/2021,10000
A00000220,8/31/2022,2/28/2019,4000
A00000269,8/31/2022,9/30/2019,2000
A00000333,8/31/2020,4/30/2020,79000
A00001540,3/31/2023,5/31/2022,102000
A00000038,4/30/2018,1/31/2018,11000
A00000002,11/30/2021,1/31/2018,23000
A00000368,5/31/2021,1/31/2021,170000
A00000382,3/31/2023,1/31/2021,379000
A00000142,10/31/2020,2/28/2018,458000
A00000115,1/31/2022,1/31/2018,5000
A00000063,8/31/2022,1/31/2018,8604000
A00000298,2/28/2022,2/29/2020,25000
A00000286,11/30/2020,9/30/2019,1000
A00000005,5/31/2021,1/31/2018,7691000
A00000251,11/30/2019,7/31/2019,39000
A00000169,2/28/2019,2/28/2019,1000
A00000094,1/31/2018,1/31/2018,3000
A00000094,2/28/2023,1/31/2018,36000
A00000116,2/28/2022,10/31/2020,1000
A00000005,9/30/2018,1/31/2018,4082000
A00000083,4/30/2020,3/31/2018,1000
A00000350,1/31/2021,7/31/2020,47000
A00000277,5/31/2020,10/31/2019,1000
A00000192,9/30/2022,2/28/2019,175000
A00000196,11/30/2021,3/31/2019,561000
A00001416,3/31/2022,6/30/2021,408000
A00000277,11/30/2019,10/31/2019,6000
A00000274,7/31/2020,10/31/2019,762000
A00000298,3/31/2022,2/29/2020,26000
A00000376,8/31/2021,12/31/2020,1000
