Customer Cohort Month,Month,Volume
4/30/2019,10/31/2022,7137000
11/30/2020,11/30/2021,125000
11/30/2020,2/28/2023,23000
4/30/2020,3/31/2022,213197000
5/31/2019,10/31/2021,6137000
11/30/2020,3/31/2023,2000
3/31/2021,6/30/2021,4039000
11/30/2018,9/30/2021,1395000
7/31/2018,3/31/2022,19812000
10/31/2018,10/31/2022,2415000
10/31/2021,5/31/2022,2813000
8/31/2022,1/31/2023,328000
11/30/2019,5/31/2023,208000
11/30/2018,8/31/2021,1234000
3/31/2020,9/30/2022,284000
8/31/2022,11/30/2022,176000
2/29/2020,9/30/2022,659000
5/31/2019,5/31/2021,5038000
2/28/2023,4/30/2023,223000
6/30/2022,9/30/2022,208000
9/30/2018,5/31/2021,119000
3/31/2019,9/30/2022,1791000
9/30/2021,9/30/2021,3000
8/31/2018,6/30/2021,114000
7/31/2021,10/31/2022,37000
2/28/2021,3/31/2023,8000
4/30/2020,5/31/2021,336968000
1/31/2021,6/30/2021,725000
6/30/2018,2/28/2022,4396000
7/31/2019,1/31/2023,1893000
8/31/2021,6/30/2022,9002000
10/31/2021,10/31/2022,2794000
7/31/2019,9/30/2022,1386000
7/31/2022,2/28/2023,209000
5/31/2019,4/30/2021,4559000
9/30/2020,3/31/2021,132000
2/29/2020,5/31/2021,210000
3/31/2020,9/30/2021,1199000
4/30/2019,1/31/2022,724000
3/31/2020,8/31/2021,1069000
11/30/2019,1/31/2022,384000
11/30/2020,12/31/2022,283000
6/30/2018,1/31/2023,5637000
1/31/2021,10/31/2022,2085000
5/31/2023,5/31/2023,72000
6/30/2018,8/31/2022,5477000
3/31/2021,9/30/2021,3391000
1/31/2022,3/31/2022,3604000
3/31/2021,3/31/2023,4100000
1/31/2019,5/31/2023,8000
11/30/2019,11/30/2022,286000
7/31/2020,1/31/2022,560000
2/29/2020,2/28/2023,1984000
12/31/2021,10/31/2022,12000
4/30/2021,6/30/2021,520000
10/31/2020,5/31/2022,29665000
7/31/2019,12/31/2021,780000
10/31/2021,11/30/2021,7663000
11/30/2018,3/31/2022,1237000
8/31/2018,8/31/2022,700000
10/31/2019,6/30/2021,857000
2/28/2019,12/31/2022,1116000
12/31/2021,7/31/2022,164000
2/29/2020,10/31/2021,277000
4/30/2020,4/30/2023,39279000
3/31/2018,12/31/2022,11000
1/31/2018,1/31/2023,41873000
5/31/2019,9/30/2021,5702000
6/30/2022,8/31/2022,267000
6/30/2018,5/31/2022,4921000
